Question,Question_Type,Option_A,Option_B,Option_C,Option_D,Correct_Answer
What is Transient Recovery Voltage (TRV)?,multiple_choice,The voltage that appears across the terminals of a circuit breaker after a current interruption,The voltage across a load after power restoration,The current flowing through a circuit breaker during normal operation,The power factor of the circuit after a fault,The voltage that appears across the terminals of a circuit breaker after a current interruption
What factor does NOT affect Transient Recovery Voltage (TRV)?,multiple_choice,The system inductance and capacitance,The grounding for the system,The fault current level of the system,The voltage transformers and bushing capacitance,The grounding for the system
Which standard defines Transient Recovery Voltage (TRV) for AC High-Voltage Circuit Breakers?,multiple_choice,IEEE C37011,IEEE C3706,IEC 62271-100,IEC 61171,IEEE C37011
What happens during the first stage of TRV across a circuit breaker?,multiple_choice,High-frequency oscillations are observed,Low-frequency oscillations are observed,Both high and low-frequency oscillations are observed simultaneously,The circuit is completely de-energized,High-frequency oscillations are observed
What is the main objective of a TRV analysis?,multiple_choice,To ensure the breaker can handle TRV without failure,To minimize re-ignition and restrikes,To verify that TRV remains within the breakers capability,To model the entire system frequency range,To verify that TRV remains within the breakers capability
What is the worst-case scenario if the TRV exceeds the breakers rated capability?,multiple_choice,The circuit breaker might successfully interrupt the current,The circuit breaker may be damaged but remains functional,The circuit breaker may fail to interrupt the current,There will be no impact on the breaker,The circuit breaker may fail to interrupt the current
Which type of fault produces the most severe Rate of Rise of Recovery Voltage (RRRV) when simulated?,multiple_choice,A terminal 3-phase ungrounded fault,A short-line single-phase-to-ground fault,A 3-phase grounded fault,A transformer-limited fault,A short-line single-phase-to-ground fault
What is the significance of the Rate of Rise of Recovery Voltage (RRRV)?,multiple_choice,It determines the speed at which the TRV reaches its peak value,It affects the frequency of oscillations,It influences the amplitude of the TRV,It impacts the duration of the TRV,It determines the speed at which the TRV reaches its peak value
Which scenario is likely to produce the highest TRV when a breaker disconnects a transmission line?,multiple_choice,A short-line single-phase-to-ground fault,A short-circuit fault,A 3-phase terminal fault,An induction motor tripping during start-up,A terminal 3-phase ungrounded fault
What action should be taken if a circuit TRV exceeds the breakers rated capability?,multiple_choice,Continue using the same breaker,Modify the system to change its TRV characteristics,Use a different circuit breaker with a higher TRV rating,Ignore the TRV and monitor the system closely,Use a different circuit breaker with a higher TRV rating
